ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Barrios Unidos;44;MASCULINO;CONTRIBUTIVO;2
2009;Barrios Unidos;44;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;45;MASCULINO;CONTRIBUTIVO;1
2009;Barrios Unidos;49;MASCULINO;CONTRIBUTIVO;1
2009;Barrios Unidos;52;MASCULINO;CONTRIBUTIVO;1
2009;Bogotá;;FEMENINO;CONTRIBUTIVO;9
2009;Bogotá;;FEMENINO;NO ASEGURADO;6
2009;Bogotá;;FEMENINO;SIN INFORMACION;1
2009;Bogotá;;FEMENINO;SUBSIDIADO;4
2009;Bogotá;;MASCULINO;CONTRIBUTIVO;6
2009;Bogotá;;MASCULINO;EXCEPCION;1
2009;Bogotá;;MASCULINO;NO ASEGURADO;3
2009;Bogotá;;MASCULINO;SIN INFORMACION;4
2009;Bogotá;;MASCULINO;SUBSIDIADO;8
2009;Bogotá;11;FEMENINO;SUBSIDIADO;1
2009;Bogotá;11;MASCULINO;CONTRIBUTIVO;1
2009;Bogotá;11;MASCULINO;NO ASEGURADO;1
2009;Bogotá;12;FEMENINO;CONTRIBUTIVO;1
2009;Bogotá;12;FEMENINO;NO ASEGURADO;1
2009;Bogotá;12;FEMENINO;SUBSIDIADO;5
2009;Bogotá;12;MASCULINO;CONTRIBUTIVO;1
2009;Bogotá;12;MASCULINO;NO ASEGURADO;2
2009;Bogotá;12;MASCULINO;SUBSIDIADO;2
2009;Bogotá;13;FEMENINO;CONTRIBUTIVO;16
2009;Bogotá;13;FEMENINO;EXCEPCION;1
2009;Bogotá;13;FEMENINO;NO ASEGURADO;11
2009;Bogotá;13;FEMENINO;SUBSIDIADO;15
2009;Bogotá;13;MASCULINO;CONTRIBUTIVO;16
2009;Bogotá;13;MASCULINO;EXCEPCION;1
2009;Bogotá;13;MASCULINO;NO ASEGURADO;15
2009;Bogotá;13;MASCULINO;SUBSIDIADO;17
2009;Bogotá;14;FEMENINO;CONTRIBUTIVO;73
2009;Bogotá;14;FEMENINO;EXCEPCION;3
